album,uri,name,playcount,trackNumber,duration,artist,other artist
EL ÚLTIMO TOUR DEL MUNDO,spotify:track:36DHxTW2xdr9GG15T9oK9L,EL MUNDO ES MÍO,80669581,1,165199,Bad Bunny,
EL ÚLTIMO TOUR DEL MUNDO,spotify:track:5RubKOuDoPn5Kj5TLVxSxY,TE MUDASTE,472850679,2,130013,Bad Bunny,
EL ÚLTIMO TOUR DEL MUNDO,spotify:track:0tjZv2hChdHZCW1zFXpy1J,HOY COBRÉ,122732700,3,162151,Bad Bunny,
EL ÚLTIMO TOUR DEL MUNDO,spotify:track:0Lsis3LB0XAK6XlTHXaJk2,MALDITA POBREZA,89824926,4,213609,Bad Bunny,
EL ÚLTIMO TOUR DEL MUNDO,spotify:track:2XIc1pqjXV3Cr2BQUGNBck,LA NOCHE DE ANOCHE,753199526,5,203200,Bad Bunny,ROSALÍA
EL ÚLTIMO TOUR DEL MUNDO,spotify:track:23XjN1s3DZC8Q9ZwuorYY4,TE DESEO LO MEJOR,166645542,6,139576,Bad Bunny,
EL ÚLTIMO TOUR DEL MUNDO,spotify:track:5fROvzNghPid8mbKNDYvpJ,YO VISTO ASÍ,158142903,7,191526,Bad Bunny,
EL ÚLTIMO TOUR DEL MUNDO,spotify:track:26QApq0cuO9brJigr0C0W4,HACIENDO QUE ME AMAS,278299665,8,217768,Bad Bunny,
EL ÚLTIMO TOUR DEL MUNDO,spotify:track:26w9NTiE9NGjW1ZvIOd1So,BOOKER T,273619187,9,156430,Bad Bunny,
EL ÚLTIMO TOUR DEL MUNDO,spotify:track:67ACYA3UI6QMNtHX6b34wX,LA DROGA,121868976,10,162299,Bad Bunny,
EL ÚLTIMO TOUR DEL MUNDO,spotify:track:4MzXwWMhyBbmu6hOcLVD49,DÁKITI,1517905430,11,205090,Bad Bunny,Jhay Cortez
EL ÚLTIMO TOUR DEL MUNDO,spotify:track:09WAnxdBuebQopKhJT3oZS,TRELLAS,78798903,12,157673,Bad Bunny,
EL ÚLTIMO TOUR DEL MUNDO,spotify:track:5jZ32WOU7sqzDYbzINwMUk,SORRY PAPI,123894447,13,163053,Bad Bunny,ABRA
EL ÚLTIMO TOUR DEL MUNDO,spotify:track:3KJ3opyV29269SXkPrc19l,120,233644826,14,151506,Bad Bunny,
EL ÚLTIMO TOUR DEL MUNDO,spotify:track:7kjEqI6eZ7YlFrGhxixnlN,ANTES QUE SE ACABE,170687274,15,221186,Bad Bunny,
EL ÚLTIMO TOUR DEL MUNDO,spotify:track:2Iv6YBslkxslMJQsxshZh5,CANTARES DE NAVIDAD,25257754,16,199720,Trio Vegabajeño,
Views,spotify:track:7sBwAWyXfiIgrYQ8BaJESH,Keep The Family Close,87360291,1,328906,Drake,
Views,spotify:track:1C7KSXR2GVxknex6I4ANco,9,126094754,2,255786,Drake,
Views,spotify:track:03L2AoiRbWhvt7BDMx1jUB,U With Me?,113442397,3,297373,Drake,
Views,spotify:track:3cjF2OFRmip8spwZYQRKxP,Feel No Ways,269961631,4,240653,Drake,
Views,spotify:track:5NFYuqu8V6QXc6mzcLImd6,Hype,166016630,5,209413,Drake,
Views,spotify:track:4PA16FAl8LPmFmOhARawdV,Weston Road Flows,96255522,6,253533,Drake,
Views,spotify:track:4cRBqWBjuccCowYVHFlXK6,Redemption,150165873,7,333946,Drake,
Views,spotify:track:3aJkV6DUTSCqOwVwaBDG9B,With You,171683523,8,195053,Drake,PARTYNEXTDOOR
Views,spotify:track:2qLcJOLrh6Djda4uLbldSA,Faithful,88336645,9,290133,Drake,"dvsn,Pimp C"
Views,spotify:track:433P7tDcIAi6NLnf4Sh6tI,Still Here,258668730,10,189853,Drake,
